address,suburb,price,bedrooms,bathrooms,garage,landarea,floorarea,buildarea,neareststn,neareststndist,postcode,nearestsch,nearestschdist,nearestschrnk
1 Acorn Place,South Lake,565000,4,2,2,600,160,2003,Cockburn Central Station,1800,6164,LAKELAND SENIOR HIGH SCHOOL,0.828338552,
1 Addis Way,Wandi,365000,3,2,2,351,139,2013,Kwinana Station,4900,6167,ATWELL COLLEGE,5.524324354,129
1 Ainsley Court,Camillo,287000,3,1,1,719,86,1979,Challis Station,1900,6111,KELMSCOTT SENIOR HIGH SCHOOL,1.649178183,113
1 Albert Street,Bellevue,255000,2,1,2,651,59,1953,Midland Station,3600,6056,SWAN VIEW SENIOR HIGH SCHOOL,1.571400937,
1 Aman Place,Lockridge,325000,4,1,2,466,131,1998,Bassendean Station,2000,6054,KIARA COLLEGE,1.514921629,
1 Amethyst Crescent,Mount Richon,409000,4,2,1,759,118,1991,Armadale Station,1000,6112,ARMADALE SENIOR HIGH SCHOOL,1.227219194,
1 Ardara Lane,Hilbert,400000,3,2,2,386,132,2014,Armadale Station,3700,6112,DALE CHRISTIAN SCHOOL,2.485730857,
1 Arnside Bend,Waikiki,370000,4,2,2,468,158,2013,Warnbro Station,1100,6169,SOUTH COAST BAPTIST COLLEGE,0.491573138,
1 Arrochar Court,Hamersley,565000,4,2,3,875,168,1983,Warwick Station,2500,6022,WARWICK SENIOR HIGH SCHOOL,1.221927593,
1 Arundel Street,Bayswater,685000,3,2,8,552,126,1999,Bayswater Station,508,6053,CHISHOLM CATHOLIC COLLEGE,0.936243265,29
1 Ash Road,Carmel,675000,4,2,6,2538,241,1977,Madding,10700,6076,CARMEL ADVENTIST COLLEGE,0.496400759,
1 Ashcott Gate,Butler,367500,3,2,2,398,158,2003,Butler Station,2100,6036,BUTLER COLLEGE,0.680843327,39
1 Ashcroft Way,Balga,300000,3,2,2,243,94,2008,Warwick Station,4800,6061,BALGA SENIOR HIGH SCHOOL,0.189350314,
1 Ashendon Boulevard,Hammond Park,535000,4,2,4,704,247,2002,Cockburn Central Station,3900,6164,ATWELL COLLEGE,2.220642666,129
1 Ashtree Boulevard,Wattle Grove,540000,4,2,2,614,186,2004,Madding,5100,6107,REHOBOTH CHRISTIAN COLLEGE,3.234398609,
1 August Court,Bull Creek,685000,3,2,3,706,196,1985,Murdoch Station,961,6149,LEEMING SENIOR HIGH SCHOOL,1.183362603,89
1 Avonlea Place,Bullsbrook,350000,4,2,2,663,154,1994,Midland Station,26000,6084,HOLY CROSS COLLEGE,14.01354839,98
1 Babbler Court,Maida Vale,570000,4,2,2,568,225,2003,Midland Station,7000,6057,DARLING RANGE SPORTS COLLEGE,2.74677214,137
1 Balga Place,Koongamia,318000,2,1,3,751,90,1959,Midland Station,4100,6056,SWAN VIEW SENIOR HIGH SCHOOL,1.859246539,
1 Bamlett Street,Mount Nasura,379000,3,2,3,785,167,1977,Challis Station,1300,6112,SOWILO COMMUNITY HIGH SCHOOL,1.364195755,
1 Banken Court,Forrestdale,387500,4,1,1,782,111,1981,Armadale Station,6600,6112,CAREY BAPTIST COLLEGE,4.204627996,62
1 Barcroft Court,Atwell,465000,4,2,2,450,173,2000,Cockburn Central Station,1600,6164,ATWELL COLLEGE,0.747108089,129
1 Bates Loop,Lockridge,325000,3,1,1,421,93,1972,Success Hill Station,1900,6054,KIARA COLLEGE,1.930504982,
1 Batoni Way,Ashby,515000,3,2,2,388,160,2007,Joondalup Station,3300,6065,WANNEROO SECONDARY COLLEGE,3.141444909,131
1 Bayley Street,Woodbridge,610000,3,1,1,550,121,1920,Woodbridge Station,275,6056,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.519573264,130
1 Beach Street,Bicton,1950000,5,2,2,855,305,1981,North Fremantle Station,2900,6157,SANTA MARIA COLLEGE,1.428825658,10
1 Beacon Way,Singleton,420000,4,2,2,600,295,2006,Mandurah Station,10400,6175,COMET BAY COLLEGE,2.13203052,35
1 Beenan Elbow,South Guildford,347500,3,1,3,452,88,NULL,East Guildford Station,1400,6055,GUILDFORD GRAMMAR SCHOOL,1.517810845,52
1 Belfry Way,Wattle Grove,492000,4,2,2,459,250,2012,Madding,5100,6107,HERITAGE COLLEGE PERTH,3.374077197,
1 Bell Court,Armadale,201000,3,1,2,711,99,1985,Armadale Station,1300,6112,ARMADALE SENIOR HIGH SCHOOL,0.63073582,
